in_week,remaining
0.947800926,54.4117215200
0.951956019,54.3497491700
0.958275463,54.2877768200
0.961458333,54.2258044700
0.962349537,54.1638321200
0.967870370,54.1018597800
0.972175926,54.0398874300
0.978240741,53.9779150800
0.987488426,53.9159427300
0.990740741,53.8539703800
0.999675926,53.7919980400
1.000428241,53.7300256900
1.002372685,53.6680533400
1.003449074,53.6060809900
1.005601852,53.5441086400
1.006203704,53.4821363000
1.006342593,53.4201639500
1.013148148,53.3581916000
1.015775463,53.2962192500
1.019386574,53.2342469000
1.019942130,53.1722745600
1.020127315,53.1103022100
1.020648148,53.0483298600
1.022048611,52.9863575100
1.022488426,52.9243851600
1.024143519,52.8624128200
1.025497685,52.8004404700
1.025960648,52.7384681200
1.026307870,52.6764957700
1.027152778,52.6145234200
1.027881944,52.5525510800
1.029502315,52.4905787300
1.030925926,52.4286063800
1.033912037,52.3666340300
1.035370370,52.3046616900
1.042847222,52.2426893400
1.046400463,52.1807169900
1.049421296,52.1187446400
1.049780093,52.0567722900
1.050023148,51.9947999500
1.051898148,51.9328276000
1.053229167,51.8708552500
1.053703704,51.8088829000
1.056469907,51.7469105500
1.056724537,51.6849382100
1.059444444,51.6229658600
1.059953704,51.5609935100
1.069490741,51.4990211600
1.072002315,51.4370488100
1.076504630,51.3750764700
1.077256944,51.3131041200
1.078032407,51.2511317700
1.078877315,51.1891594200
1.080625000,51.1271870700
1.082002315,51.0652147300
1.082685185,51.0032423800
1.082835648,50.9412700300
1.085023148,50.8792976800
1.090949074,50.8173253300
1.091226852,50.7553529900
1.093136574,50.6933806400
1.096099537,50.6314082900
1.098854167,50.5694359400
1.099467593,50.5074635900
1.104085648,50.4454912500
1.108634259,50.3835189000
1.108923611,50.3215465500
1.110243056,50.2595742000
1.113043981,50.1976018500
1.113449074,50.1356295100
1.113622685,50.0736571600
1.114039352,50.0116848100
1.114560185,49.9497124600
1.115613426,49.8877401100
1.116018519,49.8257677700
1.117268519,49.7637954200
1.117731481,49.7018230700
1.118344907,49.6398507200
1.118865741,49.5778783700
1.119328704,49.5159060300
1.119571759,49.4539336800
1.119652778,49.3919613300
1.119953704,49.3299889800
1.120208333,49.2680166300
1.120648148,49.2060442900
1.121168981,49.1440719400
1.121863426,49.0820995900
1.123460648,49.0201272400
1.124004630,48.9581548900
1.124363426,48.8961825500
1.126319444,48.8342102000
1.126388889,48.7722378500
1.130671296,48.7102655000
1.130995370,48.6482931600
1.144953704,48.5863208100
1.148449074,48.5243484600
1.171238426,48.4623761100
1.171412037,48.4004037600
1.174560185,48.3384314200
1.176226852,48.2764590700
1.180937500,48.2144867200
1.186631944,48.1525143700
1.195138889,48.0905420200
1.195219907,48.0285696800
1.202835648,47.9665973300
1.220127315,47.9046249800
1.225057870,47.8426526300
1.225428241,47.7806802800
1.241064815,47.7187079400
1.245069444,47.6567355900
1.245474537,47.5947632400
1.286215278,47.5327908900
1.294699074,47.4708185400
1.311087963,47.4088462000
1.312060185,47.3468738500
1.328715278,47.2849015000
1.330300926,47.2229291500
1.330810185,47.1609568000
1.331712963,47.0989844600
1.332002315,47.0370121100
1.349085648,46.9750397600
1.401412037,46.9130674100
1.544317130,46.8510950600
1.550648148,46.7891227200
1.550925926,46.7271503700
1.551273148,46.6651780200
1.669097222,46.6032056700
1.669618056,46.5412333200
1.760266204,46.4792609800
1.778217593,46.4172886300
1.782210648,46.3553162800
1.793391204,46.2933439300
1.805011574,46.2313715800
1.818819444,46.1693992400
1.842673611,46.1074268900
1.862256944,46.0454545400
1.877129630,45.9834821900
1.879259259,45.9215098400
1.914722222,45.8595375000
1.917268519,45.7975651500
1.920543981,45.7355928000
1.964189815,45.6736204500
1.966712963,45.6116481000
1.968958333,45.5496757600
1.976655093,45.4877034100
1.992650463,45.4257310600
1.998217593,45.3637587100
1.998252315,45.3017863600
2.003229167,45.2398140200
2.004953704,45.1778416700
2.025115741,45.1158693200
2.026909722,45.0538969700
2.064479167,44.9919246200
2.069861111,44.9299522800
2.073599537,44.8679799300
2.075000000,44.8060075800
2.075219907,44.7440352300
2.076435185,44.6820628900
2.078518519,44.6200905400
2.082442130,44.5581181900
2.107708333,44.4961458400
2.108344907,44.4341734900
2.114953704,44.3722011500
2.115208333,44.3102288000
2.123611111,44.2482564500
2.124293981,44.1862841000
2.127002315,44.1243117500
2.127245370,44.0623394100
2.127407407,44.0003670600
2.127465278,43.9383947100
2.127881944,43.8764223600
2.128067130,43.8144500100
2.128252315,43.7524776700
2.137326389,43.6905053200
2.153368056,43.6285329700
2.167314815,43.5665606200
2.192638889,43.5045882700
2.197314815,43.4426159300
2.235775463,43.3806435800
2.245451389,43.3186712300
2.252928241,43.2566988800
2.352187500,43.1947265300
2.352939815,43.1327541900
2.369282407,43.0707818400
2.389988426,43.0088094900
2.394502315,42.9468371400
2.396956019,42.8848647900
2.400497685,42.8228924500
2.402268519,42.7609201000
2.402847222,42.6989477500
2.403067130,42.6369754000
2.405347222,42.5750030500
2.478912037,42.5130307100
2.508495370,42.4510583600
2.512638889,42.3890860100
2.516597222,42.3271136600
2.522384259,42.2651413100
2.552465278,42.2031689700
2.555717593,42.1411966200
2.642905093,42.0792242700
2.651354167,42.0172519200
2.657789352,41.9552795700
2.760879630,41.8933072300
2.799826389,41.8313348800
2.801030093,41.7693625300
2.802013889,41.7073901800
2.812210648,41.6454178300
2.812453704,41.5834454900
2.833773148,41.5214731400
2.834606481,41.4595007900
2.838090278,41.3975284400
2.838472222,41.3355560900
2.838877315,41.2735837500
2.854537037,41.2116114000
2.860902778,41.1496390500
2.869699074,41.0876667000
2.872604167,41.0256943500
2.874108796,40.9637220100
2.874224537,40.9017496600
2.885520833,40.8397773100
2.893032407,40.7778049600
2.909594907,40.7158326200
2.910636574,40.6538602700
2.911030093,40.5918879200
2.912777778,40.5299155700
2.938553241,40.4679432200
2.941250000,40.4059708800
2.941608796,40.3439985300
2.949629630,40.2820261800
2.949652778,40.2200538300
2.957939815,40.1580814800
2.984745370,40.0961091400
2.987418981,40.0341367900
2.987476852,39.9721644400
2.992048611,39.9101920900
2.992141204,39.8482197400
2.992233796,39.7862474000
2.992800926,39.7242750500
2.993657407,39.6623027000
2.995150463,39.6003303500
3.005254630,39.5383580000
3.012256944,39.4763856600
3.017013889,39.4144133100
3.035196759,39.3524409600
3.037291667,39.2904686100
3.058391204,39.2284962600
3.068726852,39.1665239200
3.069189815,39.1045515700
3.080891204,39.0425792200
3.089953704,38.9806068700
3.093020833,38.9186345200
3.096365741,38.8566621800
3.097152778,38.7946898300
3.100439815,38.7327174800
3.107152778,38.6707451300
3.111365741,38.6087727800
3.112280093,38.5468004400
3.120995370,38.4848280900
3.121793981,38.4228557400
3.139166667,38.3608833900
3.141516204,38.2989110400
3.143923611,38.2369387000
3.152569444,38.1749663500
3.154733796,38.1129940000
3.159143519,38.0510216500
3.160046296,37.9890493000
3.160416667,37.9270769600
3.160590278,37.8651046100
3.161365741,37.8031322600
3.161840278,37.7411599100
3.163263889,37.6791875600
3.166111111,37.6172152200
3.169930556,37.5552428700
3.174513889,37.4932705200
3.179212963,37.4312981700
3.180844907,37.3693258200
3.183287037,37.3073534800
3.187337963,37.2453811300
3.191030093,37.1834087800
3.191307870,37.1214364300
3.191909722,37.0594640800
3.192534722,36.9974917400
3.192847222,36.9355193900
3.200243056,36.8735470400
3.202465278,36.8115746900
3.202835648,36.7496023500
3.208333333,36.6876300000
3.217569444,36.6256576500
3.219305556,36.5636853000
3.224143519,36.5017129500
3.231203704,36.4397406100
3.234953704,36.3777682600
3.236006944,36.3157959100
3.241342593,36.2538235600
3.241458333,36.1918512100
3.241527778,36.1298788700
3.246655093,36.0679065200
3.248877315,36.0059341700
3.249849537,35.9439618200
3.250497685,35.8819894700
3.256909722,35.8200171300
3.264976852,35.7580447800
3.265682870,35.6960724300
3.277916667,35.6341000800
3.297662037,35.5721277300
3.300648148,35.5101553900
3.305717593,35.4481830400
3.310266204,35.3862106900
3.317847222,35.3242383400
3.327372685,35.2622659900
3.331620370,35.2002936500
3.337962963,35.1383213000
3.354814815,35.0763489500
3.373819444,35.0143766000
3.399560185,34.9524042500
3.399594907,34.8904319100
3.404918981,34.8284595600
3.408969907,34.7664872100
3.417766204,34.7045148600
3.445162037,34.6425425100
3.460960648,34.5805701700
3.484386574,34.5185978200
3.760000000,34.4566254700
3.805983796,34.3946531200
3.848344907,34.3326807700
3.849224537,34.2707084300
3.852418981,34.2087360800
3.853518519,34.1467637300
3.854745370,34.0847913800
3.854884259,34.0228190300
3.857523148,33.9608466900
3.859039352,33.8988743400
3.862951389,33.8369019900
3.866481481,33.7749296400
3.901574074,33.7129572900
3.934618056,33.6509849500
3.945601852,33.5890126000
3.948425926,33.5270402500
3.956157407,33.4650679000
3.957384259,33.4030955500
3.958553241,33.3411232100
3.965451389,33.2791508600
3.974965278,33.2171785100
3.984618056,33.1552061600
3.985231481,33.0932338100
3.989502315,33.0312614700
3.993159722,32.9692891200
4.004814815,32.9073167700
4.005439815,32.8453444200
4.005636574,32.7833720800
4.009421296,32.7213997300
4.022453704,32.6594273800
4.023437500,32.5974550300
4.024027778,32.5354826800
4.029942130,32.4735103400
4.036828704,32.4115379900
4.046840278,32.3495656400
4.046875000,32.2875932900
4.047893519,32.2256209400
4.050648148,32.1636486000
4.051180556,32.1016762500
4.054803241,32.0397039000
4.056296296,31.9777315500
4.056793981,31.9157592000
4.058229167,31.8537868600
4.058506944,31.7918145100
4.062060185,31.7298421600
4.065104167,31.6678698100
4.065277778,31.6058974600
4.066134259,31.5439251200
4.066562500,31.4819527700
4.067314815,31.4199804200
4.067789352,31.3580080700
4.068738426,31.2960357200
4.070231481,31.2340633800
4.070335648,31.1720910300
4.070752315,31.1101186800
4.070925926,31.0481463300
4.072407407,30.9861739800
4.073252315,30.9242016400
4.073483796,30.8622292900
4.074293981,30.8002569400
4.077280093,30.7382845900
4.082557870,30.6763122400
4.085497685,30.6143399000
4.088229167,30.5523675500
4.097476852,30.4903952000
4.103136574,30.4284228500
4.103148148,30.3664505000
4.103807870,30.3044781600
4.104942130,30.2425058100
4.114965278,30.1805334600
4.120011574,30.1185611100
4.120729167,30.0565887600
4.127708333,29.9946164200
4.136030093,29.9326440700
4.146863426,29.8706717200
4.152187500,29.8086993700
4.155185185,29.7467270200
4.155300926,29.6847546800
4.155428241,29.6227823300
4.157453704,29.5608099800
4.158171296,29.4988376300
4.159479167,29.4368652800
4.162488426,29.3748929400
4.170219907,29.3129205900
4.173206019,29.2509482400
4.175787037,29.1889758900
4.176944444,29.1270035500
4.180428241,29.0650312000
4.181041667,29.0030588500
4.181099537,28.9410865000
4.183888889,28.8791141500
4.187256944,28.8171418100
4.187384259,28.7551694600
4.187719907,28.6931971100
4.188275463,28.6312247600
4.188888889,28.5692524100
4.196469907,28.5072800700
4.197013889,28.4453077200
4.199351852,28.3833353700
4.200034722,28.3213630200
4.204699074,28.2593906700
4.209965278,28.1974183300
4.216770833,28.1354459800
4.225671296,28.0734736300
4.226134259,28.0115012800
4.226597222,27.9495289300
4.237847222,27.8875565900
4.240162037,27.8255842400
4.255289352,27.7636118900
4.271574074,27.7016395400
4.271678241,27.6396671900
4.275138889,27.5776948500
4.281446759,27.5157225000
4.281990741,27.4537501500
4.283356481,27.3917778000
4.289872685,27.3298054500
4.295729167,27.2678331100
4.300532407,27.2058607600
4.304189815,27.1438884100
4.309293981,27.0819160600
4.318460648,27.0199437100
4.321423611,26.9579713700
4.338888889,26.8959990200
4.340138889,26.8340266700
4.340277778,26.7720543200
4.340451389,26.7100819700
4.341863426,26.6481096300
4.346770833,26.5861372800
4.351504630,26.5241649300
4.355162037,26.4621925800
4.356932870,26.4002202300
4.361678241,26.3382478900
4.376423611,26.2762755400
4.376701389,26.2143031900
4.380254630,26.1523308400
4.384421296,26.0903584900
4.385868056,26.0283861500
4.389699074,25.9664138000
4.401574074,25.9044414500
4.407291667,25.8424691000
4.414004630,25.7804967500
4.432268519,25.7185244100
4.432500000,25.6565520600
4.440706019,25.5945797100
4.440752315,25.5326073600
4.444768519,25.4706350100
4.448009259,25.4086626700
4.448055556,25.3466903200
4.456574074,25.2847179700
4.460729167,25.2227456200
4.461250000,25.1607732800
4.463333333,25.0988009300
4.466759259,25.0368285800
4.466782407,24.9748562300
4.470300926,24.9128838800
4.493923611,24.8509115400
4.531620370,24.7889391900
4.574131944,24.7269668400
4.792592593,24.6649944900
4.834722222,24.6030221400
4.840810185,24.5410498000
4.840914352,24.4790774500
4.840937500,24.4171051000
4.844398148,24.3551327500
4.848692130,24.2931604000
4.855266204,24.2311880600
4.857060185,24.1692157100
4.857476852,24.1072433600
4.858368056,24.0452710100
4.863460648,23.9832986600
4.874421296,23.9213263200
4.885706019,23.8593539700
4.897615741,23.7973816200
4.905115741,23.7354092700
4.917187500,23.6734369200
4.924872685,23.6114645800
4.932870370,23.5494922300
4.935578704,23.4875198800
4.942442130,23.4255475300
4.943333333,23.3635751800
4.952395833,23.3016028400
4.959050926,23.2396304900
4.962314815,23.1776581400
4.962500000,23.1156857900
4.972847222,23.0537134400
4.984421296,22.9917411000
4.986481481,22.9297687500
4.986516204,22.8677964000
4.990833333,22.8058240500
4.990949074,22.7438517000
4.991747685,22.6818793600
4.991828704,22.6199070100
4.994814815,22.5579346600
5.015023148,22.4959623100
5.032071759,22.4339899600
5.035474537,22.3720176200
5.045277778,22.3100452700
5.046064815,22.2480729200
5.046377315,22.1861005700
5.046562500,22.1241282200
5.049085648,22.0621558800
5.051180556,22.0001835300
5.051250000,21.9382111800
5.051331019,21.8762388300
5.066817130,21.8142664800
5.067418981,21.7522941400
5.067858796,21.6903217900
5.078761574,21.6283494400
5.080509259,21.5663770900
5.084953704,21.5044047400
5.087048611,21.4424324000
5.091493056,21.3804600500
5.097395833,21.3184877000
5.111099537,21.2565153500
5.111145833,21.1945430100
5.112858796,21.1325706600
5.121782407,21.0705983100
5.123900463,21.0086259600
5.125185185,20.9466536100
5.130347222,20.8846812700
5.135856481,20.8227089200
5.135949074,20.7607365700
5.147569444,20.6987642200
5.154930556,20.6367918700
5.178136574,20.5748195300
5.179745370,20.5128471800
5.185312500,20.4508748300
5.192511574,20.3889024800
5.193101852,20.3269301300
5.193368056,20.2649577900
5.200347222,20.2029854400
5.201805556,20.1410130900
5.205706019,20.0790407400
5.206388889,20.0170683900
5.206608796,19.9550960500
5.207048611,19.8931237000
5.207129630,19.8311513500
5.207650463,19.7691790000
5.207696759,19.7072066500
5.208043981,19.6452343100
5.208692130,19.5832619600
5.209699074,19.5212896100
5.210509259,19.4593172600
5.211122685,19.3973449100
5.211898148,19.3353725700
5.212581019,19.2734002200
5.215000000,19.2114278700
5.215312500,19.1494555200
5.221759259,19.0874831700
5.224131944,19.0255108300
5.225706019,18.9635384800
5.227083333,18.9015661300
5.228796296,18.8395937800
5.229259259,18.7776214300
5.232847222,18.7156490900
5.239641204,18.6536767400
5.240902778,18.5917043900
5.242534722,18.5297320400
5.242777778,18.4677596900
5.246030093,18.4057873500
5.247604167,18.3438150000
5.249456019,18.2818426500
5.249467593,18.2198703000
5.250092593,18.1578979500
5.250162037,18.0959256100
5.251296296,18.0339532600
5.251608796,17.9719809100
5.256064815,17.9100085600
5.256805556,17.8480362100
5.257326389,17.7860638700
5.258368056,17.7240915200
5.264143519,17.6621191700
5.265289352,17.6001468200
5.268958333,17.5381744700
5.269525463,17.4762021300
5.273946759,17.4142297800
5.277361111,17.3522574300
5.277847222,17.2902850800
5.280011574,17.2283127400
5.280717593,17.1663403900
5.281261574,17.1043680400
5.282349537,17.0423956900
5.282905093,16.9804233400
5.284513889,16.9184510000
5.284733796,16.8564786500
5.287303241,16.7945063000
5.289988426,16.7325339500
5.291435185,16.6705616000
5.292777778,16.6085892600
5.295590278,16.5466169100
5.296921296,16.4846445600
5.297118056,16.4226722100
5.298587963,16.3606998600
5.298946759,16.2987275200
5.305717593,16.2367551700
5.318553241,16.1747828200
5.332326389,16.1128104700
5.333680556,16.0508381200
5.335821759,15.9888657800
5.336875000,15.9268934300
5.337037037,15.8649210800
5.343310185,15.8029487300
5.347060185,15.7409763800
5.347708333,15.6790040400
5.348206019,15.6170316900
5.349780093,15.5550593400
5.354675926,15.4930869900
5.360520833,15.4311146400
5.366030093,15.3691423000
5.370092593,15.3071699500
5.371076389,15.2451976000
5.372974537,15.1832252500
5.383599537,15.1212529000
5.389328704,15.0592805600
5.394699074,14.9973082100
5.396898148,14.9353358600
5.396898148,14.8733635100
5.399560185,14.8113911600
5.404108796,14.7494188200
5.409780093,14.6874464700
5.410509259,14.6254741200
5.410787037,14.5635017700
5.416805556,14.5015294200
5.418090278,14.4395570800
5.420902778,14.3775847300
5.421400463,14.3156123800
5.436886574,14.2536400300
5.533576389,14.1916676800
5.834988426,14.1296953400
5.837430556,14.0677229900
5.841493056,14.0057506400
5.848483796,13.9437782900
5.867372685,13.8818059400
5.878622685,13.8198336000
5.878784722,13.7578612500
5.887326389,13.6958889000
5.890763889,13.6339165500
5.893032407,13.5719442100
5.894004630,13.5099718600
5.894201389,13.4479995100
5.894212963,13.3860271600
5.894537037,13.3240548100
5.895902778,13.2620824700
5.895949074,13.2001101200
5.897511574,13.1381377700
5.902337963,13.0761654200
5.904027778,13.0141930700
5.921944444,12.9522207300
5.922754630,12.8902483800
5.923287037,12.8282760300
5.936504630,12.7663036800
5.945520833,12.7043313300
5.953182870,12.6423589900
5.954548611,12.5803866400
5.956261574,12.5184142900
5.956724537,12.4564419400
5.962349537,12.3944695900
5.967314815,12.3324972500
5.968611111,12.2705249000
5.968842593,12.2085525500
5.974722222,12.1465802000
5.984965278,12.0846078500
5.985266204,12.0226355100
5.987118056,11.9606631600
5.999652778,11.8986908100
6.001550926,11.8367184600
6.004594907,11.7747461100
6.005995370,11.7127737700
6.008437500,11.6508014200
6.009363426,11.5888290700
6.010509259,11.5268567200
6.013437500,11.4648843700
6.015138889,11.4029120300
6.016608796,11.3409396800
6.019687500,11.2789673300
6.020706019,11.2169949800
6.021180556,11.1550226300
6.023449074,11.0930502900
6.023981481,11.0310779400
6.024849537,10.9691055900
6.025173611,10.9071332400
6.025266204,10.8451608900
6.028854167,10.7831885500
6.029340278,10.7212162000
6.030370370,10.6592438500
6.030752315,10.5972715000
6.031550926,10.5352991500
6.032615741,10.4733268100
6.038472222,10.4113544600
6.039861111,10.3493821100
6.045659722,10.2874097600
6.048587963,10.2254374100
6.053182870,10.1634650700
6.061493056,10.1014927200
6.062569444,10.0395203700
6.062835648,9.9775480230
6.065775463,9.9155756750
6.075983796,9.8536033270
6.079016204,9.7916309790
6.080115741,9.7296586310
6.080266204,9.6676862830
6.082604167,9.6057139350
6.082881944,9.5437415870
6.084027778,9.4817692390
6.084293981,9.4197968910
6.084803241,9.3578245430
6.085196759,9.2958521950
6.085752315,9.2338798470
6.086423611,9.1719074990
6.086817130,9.1099351510
6.087615741,9.0479628030
6.087905093,8.9859904550
6.089398148,8.9240181070
6.089571759,8.8620457590
6.090138889,8.8000734110
6.091435185,8.7381010640
6.091793981,8.6761287160
6.093368056,8.6141563680
6.094085648,8.5521840200
6.094328704,8.4902116720
6.094618056,8.4282393240
6.094930556,8.3662669760
6.096203704,8.3042946280
6.096817130,8.2423222800
6.097361111,8.1803499320
6.097696759,8.1183775840
6.098298611,8.0564052360
6.102650463,7.9944328880
6.103078704,7.9324605400
6.114976852,7.8704881920
6.130243056,7.8085158440
6.131956019,7.7465434960
6.141284722,7.6845711480
6.144768519,7.6225988000
6.146793981,7.5606264520
6.148645833,7.4986541040
6.162592593,7.4366817560
6.164502315,7.3747094080
6.167175926,7.3127370600
6.168229167,7.2507647120
