shifted,remaining,in_week
0.918287037,27.9159485,1.209953704
0.930173611,27.85221346,1.221840278
0.936261574,27.78847842,1.227928241
0.96292824,27.72474338,1.254594907
0.962997685,27.66100833,1.254664352
0.973171296,27.59727329,1.264837963
0.976631944,27.53353825,1.268298611
1.000208333,27.46980321,1.291875
1.001481481,27.40606817,1.293148148
1.00167824,27.34233312,1.293344907
1.002361111,27.27859808,1.294027778
1.038032407,27.21486304,1.329699074
1.03824074,27.151128,1.329907407
1.04136574,27.08739295,1.333032407
1.045150463,27.02365791,1.33681713
1.05224537,26.95992287,1.343912037
1.089537037,26.89618783,1.381203704
1.090138889,26.83245279,1.381805556
1.09880787,26.76871774,1.390474537
1.098819444,26.7049827,1.390486111
1.09886574,26.64124766,1.390532407
1.099027777,26.57751262,1.390694444
1.099259259,26.51377757,1.390925926
1.129004629,26.45004253,1.420671296
1.135474537,26.38630749,1.427141204
1.136689814,26.32257245,1.428356481
1.138715277,26.25883741,1.430381944
1.142685185,26.19510236,1.434351852
1.144780092,26.13136732,1.436446759
1.155046296,26.06763228,1.446712963
1.15662037,26.00389724,1.448287037
1.158402777,25.94016219,1.450069444
1.158449074,25.87642715,1.450115741
1.158831018,25.81269211,1.450497685
1.158935185,25.74895707,1.450601852
1.160555555,25.68522203,1.452222222
1.163368055,25.62148698,1.455034722
1.164606481,25.55775194,1.456273148
1.165185185,25.4940169,1.456851852
1.17667824,25.43028186,1.468344907
1.214201389,25.36654681,1.505868056
1.214629629,25.30281177,1.506296296
1.214710648,25.23907673,1.506377315
1.231076389,25.17534169,1.522743056
1.298900463,25.11160664,1.59056713
1.519467592,25.0478716,1.811134259
1.632256944,24.98413656,1.923923611
1.640462963,24.92040152,1.93212963
1.640613426,24.85666648,1.932280093
1.640636574,24.79293143,1.932303241
1.654421296,24.72919639,1.946087963
1.6546875,24.66546135,1.946354167
1.65505787,24.60172631,1.946724537
1.655335648,24.53799126,1.947002315
1.674259259,24.47425622,1.965925926
1.680752314,24.41052118,1.972418981
1.701041666,24.34678614,1.992708333
1.703726852,24.2830511,1.995393519
1.708842592,24.21931605,2.000509259
1.713703703,24.15558101,2.00537037
1.735706018,24.09184597,2.027372685
1.751145833,24.02811093,2.0428125
1.759965277,23.96437588,2.051631944
1.767488426,23.90064084,2.059155093
1.767951389,23.8369058,2.059618056
1.769606481,23.77317076,2.061273148
1.769675926,23.70943572,2.061342593
1.770416666,23.64570067,2.062083333
1.779560185,23.58196563,2.071226852
1.789375,23.51823059,2.081041667
1.794039352,23.45449555,2.085706019
1.797951389,23.3907605,2.089618056
1.799768518,23.32702546,2.091435185
1.802210648,23.26329042,2.093877315
1.848368055,23.19955538,2.140034722
1.868506944,23.13582034,2.160173611
1.87625,23.07208529,2.167916667
1.889456018,23.00835025,2.181122685
1.889791666,22.94461521,2.181458333
1.893981481,22.88088017,2.185648148
1.896956018,22.81714512,2.188622685
1.911018518,22.75341008,2.202685185
1.919166666,22.68967504,2.210833333
1.924398148,22.62594,2.216064815
1.926956018,22.56220495,2.218622685
1.933622685,22.49846991,2.225289352
1.949363426,22.43473487,2.241030093
1.954733796,22.37099983,2.246400463
1.958009259,22.30726479,2.249675926
1.988819444,22.24352974,2.280486111
1.989085648,22.1797947,2.280752315
2.0134375,22.11605966,2.305104167
2.01443287,22.05232462,2.306099537
2.021666666,21.98858957,2.313333333
2.023530092,21.92485453,2.315196759
2.032025463,21.86111949,2.32369213
2.032939814,21.79738445,2.324606481
2.034212963,21.73364941,2.32587963
2.034664352,21.66991436,2.326331019
2.03667824,21.60617932,2.328344907
2.038020833,21.54244428,2.3296875
2.060081018,21.47870924,2.351747685
2.064317129,21.41497419,2.355983796
2.089328703,21.35123915,2.38099537
2.097453703,21.28750411,2.38912037
2.098657407,21.22376907,2.390324074
2.106203703,21.16003403,2.39787037
2.106689814,21.09629898,2.398356481
2.127997685,21.03256394,2.419664352
2.150648148,20.9688289,2.442314815
2.155972222,20.90509386,2.447638889
2.21167824,20.84135881,2.503344907
2.226828703,20.77762377,2.51849537
2.229710648,20.71388873,2.521377315
2.230543981,20.65015369,2.522210648
2.2784375,20.58641865,2.570104167
2.304583333,20.5226836,2.59625
2.305439814,20.45894856,2.597106481
2.306215277,20.39521352,2.597881944
2.318020833,20.33147848,2.6096875
2.538888889,20.26774343,2.830555556
2.539016203,20.20400839,2.83068287
2.539224537,20.14027335,2.830891204
2.539456018,20.07653831,2.831122685
2.539571759,20.01280327,2.831238426
2.553356481,19.94906822,2.845023148
2.558703703,19.88533318,2.85037037
2.581759259,19.82159814,2.873425926
2.592025463,19.7578631,2.88369213
2.608136574,19.69412805,2.899803241
2.608344907,19.63039301,2.900011574
2.611793981,19.56665797,2.903460648
2.615752314,19.50292293,2.907418981
2.616643518,19.43918788,2.908310185
2.620405092,19.37545284,2.912071759
2.6328125,19.3117178,2.924479167
2.654398148,19.24798276,2.946064815
2.661168981,19.18424772,2.952835648
2.663067129,19.12051267,2.954733796
2.663564814,19.05677763,2.955231481
2.666446759,18.99304259,2.958113426
2.666782407,18.92930755,2.958449074
2.668333333,18.8655725,2.96
2.668842592,18.80183746,2.960509259
2.678113426,18.73810242,2.969780093
2.678460648,18.67436738,2.970127315
2.682511574,18.61063234,2.974178241
2.682592592,18.54689729,2.974259259
2.691608796,18.48316225,2.983275463
2.696423611,18.41942721,2.988090278
2.710671296,18.35569217,3.002337963
2.724537037,18.29195712,3.016203704
2.72724537,18.22822208,3.018912037
2.727719907,18.16448704,3.019386574
2.7296875,18.100752,3.021354167
2.730219907,18.03701696,3.021886574
2.731817129,17.97328191,3.023483796
2.732754629,17.90954687,3.024421296
2.735208333,17.84581183,3.026875
2.740034722,17.78207679,3.031701389
2.743310185,17.71834174,3.034976852
2.74761574,17.6546067,3.039282407
2.75167824,17.59087166,3.043344907
2.752986111,17.52713662,3.044652778
2.770104166,17.46340158,3.061770833
2.771655092,17.39966653,3.063321759
2.772256944,17.33593149,3.063923611
2.781840277,17.27219645,3.073506944
2.786944444,17.20846141,3.078611111
2.808206018,17.14472636,3.099872685
2.81,17.08099132,3.101666667
2.811261574,17.01725628,3.102928241
2.81386574,16.95352124,3.105532407
2.815358796,16.8897862,3.107025463
2.817395833,16.82605115,3.1090625
2.826423611,16.76231611,3.118090278
2.836840277,16.69858107,3.128506944
