shifted,remaining,in_week
1.752997685,23.16262389,2.044664352
1.769953703,23.07960373,2.06162037
1.78136574,22.99658357,2.073032407
1.787847222,22.91356341,2.079513889
1.791458333,22.83054326,2.083125
1.812939814,22.7475231,2.104606481
1.842986111,22.66450294,2.134652778
1.855648148,22.58148278,2.147314815
1.859027777,22.49846263,2.150694444
1.863622685,22.41544247,2.155289352
1.890439814,22.33242231,2.182106481
1.903761574,22.24940216,2.195428241
1.908576389,22.166382,2.200243056
1.918321759,22.08336184,2.209988426
1.923287037,22.00034168,2.214953704
1.928425926,21.91732153,2.220092593
1.938703703,21.83430137,2.23037037
1.948842592,21.75128121,2.240509259
1.967476852,21.66826105,2.259143519
1.980150463,21.5852409,2.27181713
2.015532407,21.50222074,2.307199074
2.015891203,21.41920058,2.30755787
2.018263889,21.33618042,2.309930556
2.020659722,21.25316027,2.312326389
2.024027777,21.17014011,2.315694444
2.055532407,21.08711995,2.347199074
2.071770833,21.0040998,2.3634375
2.074976852,20.92107964,2.366643519
2.148993055,20.83805948,2.440659722
2.152905092,20.75503932,2.444571759
2.173125,20.67201917,2.464791667
2.193055555,20.58899901,2.484722222
2.518599537,20.50597885,2.810266204
2.524537037,20.42295869,2.816203704
2.529849537,20.33993854,2.821516204
2.534027777,20.25691838,2.825694444
2.536736111,20.17389822,2.828402778
2.543611111,20.09087807,2.835277778
2.559305555,20.00785791,2.850972222
2.571898148,19.92483775,2.863564815
2.585092592,19.84181759,2.876759259
2.594224537,19.75879744,2.885891204
2.596736111,19.67577728,2.888402778
2.596863426,19.59275712,2.888530093
2.599733796,19.50973696,2.891400463
2.602129629,19.42671681,2.893796296
2.603668981,19.34369665,2.895335648
2.651296296,19.26067649,2.942962963
2.652164352,19.17765634,2.943831019
2.653634259,19.09463618,2.945300926
2.660405092,19.01161602,2.952071759
2.660532407,18.92859586,2.952199074
2.662777777,18.84557571,2.954444444
2.679293981,18.76255555,2.970960648
2.679733796,18.67953539,2.971400463
2.691273148,18.59651523,2.982939815
2.708055555,18.51349508,2.999722222
2.712233796,18.43047492,3.003900463
2.712662037,18.34745476,3.004328704
2.715578703,18.2644346,3.00724537
2.718761574,18.18141445,3.010428241
2.743472222,18.09839429,3.035138889
2.751724537,18.01537413,3.043391204
2.777638889,17.93235398,3.069305556
2.779560185,17.84933382,3.071226852
2.787858796,17.76631366,3.079525463
2.800289352,17.6832935,3.091956019
2.831631944,17.60027335,3.123298611
2.833425926,17.51725319,3.125092593
2.834710648,17.43423303,3.126377315
2.873981481,17.35121287,3.165648148
2.950810185,17.26819272,3.242476852
2.953715277,17.18517256,3.245381944
2.959976852,17.1021524,3.251643519
2.972939814,17.01913225,3.264606481
2.984050926,16.93611209,3.275717593
2.985902777,16.85309193,3.277569444
3.510717592,16.77007177,3.802384259
3.512488426,16.68705162,3.804155093
3.522476852,16.60403146,3.814143519
3.523055555,16.5210113,3.814722222
3.523101852,16.43799114,3.814768519
3.526099537,16.35497099,3.817766204
3.528009259,16.27195083,3.819675926
3.529618055,16.18893067,3.821284722
3.545497685,16.10591052,3.837164352
3.547962963,16.02289036,3.83962963
3.554629629,15.9398702,3.846296296
3.556921296,15.85685004,3.848587963
3.558900463,15.77382989,3.85056713
3.561157407,15.69080973,3.852824074
3.564467592,15.60778957,3.856134259
3.567349537,15.52476941,3.859016204
3.576145833,15.44174926,3.8678125
3.581122685,15.3587291,3.872789352
3.585914352,15.27570894,3.877581019
3.588321759,15.19268878,3.879988426
3.592662037,15.10966863,3.884328704
3.607129629,15.02664847,3.898796296
3.612349537,14.94362831,3.904016204
3.62855324,14.86060816,3.920219907
3.630462963,14.777588,3.92212963
3.639027777,14.69456784,3.930694444
3.676215277,14.61154768,3.967881944
3.681006944,14.52852753,3.972673611
3.681331018,14.44550737,3.972997685
3.695914352,14.36248721,3.987581019
3.697905092,14.27946705,3.989571759
3.770960648,14.1964469,4.062627315
3.803252314,14.11342674,4.094918981
3.84880787,14.03040658,4.140474537
3.866851852,13.94738643,4.158518519
3.871574074,13.86436627,4.163240741
3.884629629,13.78134611,4.176296296
3.889143518,13.69832595,4.180810185
3.999155092,13.6153058,4.290821759
4.07292824,13.53228564,4.364594907
4.082280092,13.44926548,4.373946759
4.086597222,13.36624532,4.378263889
4.108159722,13.28322517,4.399826389
4.468946759,13.20020501,4.760613426
4.482962963,13.11718485,4.77462963
4.492916666,13.0341647,4.784583333
4.502048611,12.95114454,4.793715278
4.511712963,12.86812438,4.80337963
4.514710648,12.78510422,4.806377315
4.516030092,12.70208407,4.807696759
4.5225,12.61906391,4.814166667
4.540069444,12.53604375,4.831736111
4.546712963,12.45302359,4.83837963
4.550891203,12.37000344,4.84255787
4.552604166,12.28698328,4.844270833
4.554155092,12.20396312,4.845821759
4.561122685,12.12094297,4.852789352
4.566134259,12.03792281,4.857800926
4.577094907,11.95490265,4.868761574
4.578113426,11.87188249,4.869780093
4.591168981,11.78886234,4.882835648
4.593622685,11.70584218,4.885289352
4.604895833,11.62282202,4.8965625
4.607951389,11.53980186,4.899618056
4.655266203,11.45678171,4.94693287
4.688854166,11.37376155,4.980520833
4.708715277,11.29074139,5.000381944
4.75443287,11.20772123,5.046099537
4.757997685,11.12470108,5.049664352
4.760625,11.04168092,5.052291667
4.76287037,10.95866076,5.054537037
4.7640625,10.87564061,5.055729167
4.779537037,10.79262045,5.071203704
4.789525463,10.70960029,5.08119213
4.853946759,10.62658013,5.145613426
4.860474537,10.54355998,5.152141204
4.8709375,10.46053982,5.162604167
4.896319444,10.37751966,5.187986111
4.897314814,10.2944995,5.188981481
4.914606481,10.21147935,5.206273148
4.929907407,10.12845919,5.221574074
4.932118055,10.04543903,5.223784722
4.950243055,9.962418875,5.241909722
4.957754629,9.879398718,5.249421296
4.985069444,9.796378561,5.276736111
4.986944444,9.713358403,5.278611111
4.987418981,9.630338246,5.279085648
4.988645833,9.547318089,5.2803125
4.990277777,9.464297932,5.281944444
4.993576389,9.381277774,5.285243056
4.996018518,9.298257617,5.287685185
5.0025,9.21523746,5.294166667
5.034641203,9.132217302,5.32630787
5.039293981,9.049197145,5.330960648
5.080486111,8.966176988,5.372152778
5.101435185,8.883156831,5.393101852
5.108043981,8.800136673,5.399710648
5.111979166,8.717116516,5.403645833
5.116469907,8.634096359,5.408136574
5.127280092,8.551076201,5.418946759
5.137731481,8.468056044,5.429398148
5.137939814,8.385035887,5.429606481
5.154895833,8.302015729,5.4465625
5.201319444,8.218995572,5.492986111
5.201956018,8.135975415,5.493622685
5.444039352,8.052955258,5.735706019
5.45011574,7.9699351,5.741782407
5.483356481,7.886914943,5.775023148
5.485405092,7.803894786,5.777071759
5.490497685,7.720874628,5.782164352
5.5025,7.637854471,5.794166667
5.509027777,7.554834314,5.800694444
5.51162037,7.471814157,5.803287037
5.516064814,7.388793999,5.807731481
5.533692129,7.305773842,5.825358796
5.541018518,7.222753685,5.832685185
5.544247685,7.139733527,5.835914352
5.544594907,7.05671337,5.836261574
5.548946759,6.973693213,5.840613426
5.551377314,6.890673055,5.843043981
5.562673611,6.807652898,5.854340278
5.56699074,6.724632741,5.858657407
5.568935185,6.641612584,5.860601852
5.58287037,6.558592426,5.874537037
5.584502314,6.475572269,5.876168981
5.588310185,6.392552112,5.879976852
5.592592592,6.309531954,5.884259259
5.612476852,6.226511797,5.904143519
5.615601852,6.14349164,5.907268519
5.634756944,6.060471483,5.926423611
5.666956018,5.977451325,5.958622685
5.684988426,5.894431168,5.976655093
5.709918981,5.811411011,6.001585648
5.716921296,5.728390853,6.008587963
5.751747685,5.645370696,6.043414352
5.763379629,5.562350539,6.055046296
5.77318287,5.479330381,6.064849537
5.785451389,5.396310224,6.077118056
5.80005787,5.313290067,6.091724537
5.818206018,5.23026991,6.109872685
5.860208333,5.147249752,6.151875
5.860405092,5.064229595,6.152071759
5.894155092,4.981209438,6.185821759
5.90167824,4.89818928,6.193344907
5.914074074,4.815169123,6.205740741
5.914780092,4.732148966,6.206446759
5.919340277,4.649128809,6.211006944
5.922384259,4.566108651,6.214050926
5.943645833,4.483088494,6.2353125
5.950462963,4.400068337,6.24212963
5.986909722,4.317048179,6.278576389
6.022372685,4.234028022,6.314039352
6.051736111,4.151007865,6.343402778
6.104733796,4.067987707,6.396400463
6.112685185,3.98496755,6.404351852
6.154768518,3.901947393,6.446435185
6.160497685,3.818927236,6.452164352
6.171018518,3.735907078,6.462685185
6.177777777,3.652886921,6.469444444
6.214780092,3.569866764,6.506446759
6.472222222,3.486846606,6.763888889
6.479791666,3.403826449,6.771458333
6.4853125,3.320806292,6.776979167
6.493819444,3.237786134,6.785486111
6.496875,3.154765977,6.788541667
6.501851852,3.07174582,6.793518519
6.5075,2.988725663,6.799166667
6.508784722,2.905705505,6.800451389
6.509537037,2.822685348,6.801203704
