shifted,median,in_week
2.826423611,14.5,3.118090278
2.836840277,14.5,3.128506944
2.841354166,14,3.133020833
2.841782407,14,3.133449074
2.84287037,14,3.134537037
2.850150463,14,3.14181713
2.851608796,13.5,3.143275463
2.859467592,13.5,3.151134259
2.861736111,13,3.153402778
2.86261574,13,3.154282407
2.865439814,12.5,3.157106481
2.866886574,12.5,3.158553241
2.875960648,12.5,3.167627315
2.888877314,12.5,3.180543981
2.889317129,12.5,3.180983796
2.891331018,12.5,3.182997685
2.891446759,12.5,3.183113426
2.916354166,12.5,3.208020833
2.91787037,12.5,3.209537037
2.919872685,12.5,3.211539352
2.92537037,12.5,3.217037037
2.9396875,12.5,3.231354167
2.951898148,12.5,3.243564815
2.959085648,12.5,3.250752315
2.961076389,12.5,3.252743056
2.969722222,12.5,3.261388889
2.969907407,12,3.261574074
2.976574074,12,3.268240741
2.979953703,12,3.27162037
2.980752314,12,3.272418981
2.997511574,12,3.289178241
2.998993055,11.5,3.290659722
3.001689814,11.5,3.293356481
3.007326389,11.5,3.298993056
3.033298611,11,3.324965278
3.074872685,11,3.366539352
3.079537037,10.5,3.371203704
3.080185185,10,3.371851852
3.142858796,10,3.434525463
3.174583333,10,3.46625
3.188912037,10,3.480578704
3.196539352,10,3.488206019
3.247696759,10,3.539363426
3.588275463,10,3.87994213
3.611516203,10,3.90318287
3.629895833,10,3.9215625
3.638981481,10,3.930648148
3.658356481,10,3.950023148
3.661817129,10,3.953483796
3.662453703,10,3.95412037
3.663761574,10,3.955428241
3.688043981,10,3.979710648
3.688136574,10,3.979803241
3.688333333,10,3.98
3.6971875,10,3.988854167
3.72355324,10,4.015219907
3.724548611,10,4.016215278
3.726423611,10,4.018090278
3.732002314,10,4.023668981
3.732291666,10,4.023958333
3.734560185,10,4.026226852
3.76255787,10,4.054224537
3.785787037,10,4.077453704
3.791006944,10,4.082673611
3.79380787,10,4.085474537
3.795381944,10,4.087048611
3.820451389,10,4.112118056
3.847199074,10,4.138865741
3.848541666,10,4.140208333
3.850405092,10,4.142071759
3.876909722,9.5,4.168576389
3.880671296,9.5,4.172337963
3.934155092,9.5,4.225821759
3.934236111,9.5,4.225902778
3.936481481,9.5,4.228148148
3.946388889,9.5,4.238055556
3.954004629,9.5,4.245671296
3.98386574,9.5,4.275532407
3.990358796,9.5,4.282025463
4.014652777,9.5,4.306319444
4.025196759,9.5,4.316863426
4.045497685,9.5,4.337164352
4.046134259,9.5,4.337800926
4.04693287,9.5,4.338599537
4.047083333,9.5,4.33875
4.047094907,9.5,4.338761574
4.104664352,9.5,4.396331019
4.105694444,9.5,4.397361111
4.108969907,9.5,4.400636574
4.109317129,9.5,4.400983796
4.167071759,9.5,4.458738426
4.190671296,9.5,4.482337963
4.577835648,9.5,4.869502315
4.633946759,9.5,4.925613426
4.686203703,9.5,4.97787037
4.686331018,9.5,4.977997685
4.686458333,9.5,4.978125
4.686469907,9.5,4.978136574
4.718287037,9.5,5.009953704
4.756944444,9.5,5.048611111
4.823379629,9.5,5.115046296
4.858576389,9.5,5.150243056
4.891736111,9.5,5.183402778
4.896539352,9.5,5.188206019
4.904629629,9.5,5.196296296
4.910104166,9.5,5.201770833
4.941655092,9.5,5.233321759
4.941666666,9.5,5.233333333
4.980092592,9.5,5.271759259
4.991122685,9.5,5.282789352
5.005023148,9.5,5.296689815
5.012754629,9.5,5.304421296
5.027858796,9.5,5.319525463
5.050717592,9.5,5.342384259
5.092939814,9,5.384606481
5.092951389,9,5.384618056
5.096643518,9,5.388310185
5.110578703,9,5.40224537
5.194826389,9,5.486493056
5.19599537,9,5.487662037
5.196168981,9,5.487835648
5.198125,9,5.489791667
5.210925926,9,5.502592593
5.542164352,9,5.833831019
5.542766203,8.5,5.83443287
5.581469907,8.5,5.873136574
5.604548611,8.5,5.896215278
5.604953703,8.5,5.89662037
5.624826389,8.5,5.916493056
5.629212963,8.5,5.92087963
5.633645833,8.5,5.9253125
5.633668981,8.5,5.925335648
5.642268518,8.5,5.933935185
5.642280092,8.5,5.933946759
5.642453703,8.5,5.93412037
5.642488426,8.5,5.934155093
5.659918981,8.5,5.951585648
5.668310185,8.5,5.959976852
5.673009259,8.5,5.964675926
5.676759259,8.5,5.968425926
5.699456018,8.5,5.991122685
5.731539352,8,6.023206019
5.737638889,7.5,6.029305556
5.742962963,7.5,6.03462963
5.750162037,7.5,6.041828704
5.755393518,7,6.047060185
5.764861111,7,6.056527778
5.765752314,7,6.057418981
5.768530092,7,6.060196759
5.772997685,7,6.064664352
5.776493055,6.5,6.068159722
5.776770833,6.5,6.0684375
5.776921296,6.5,6.068587963
5.781770833,6.5,6.0734375
5.807280092,6.5,6.098946759
5.831944444,6.5,6.123611111
5.835486111,6.5,6.127152778
5.841608796,6.5,6.133275463
5.857094907,6.5,6.148761574
5.857430555,6,6.149097222
5.861493055,6,6.153159722
5.862638889,6,6.154305556
5.88042824,6,6.172094907
5.910520833,6,6.2021875
5.915173611,6,6.206840278
5.922210648,6,6.213877315
5.927071759,5.5,6.218738426
5.937638889,5,6.229305556
5.942372685,5,6.234039352
5.944895833,5,6.2365625
5.956608796,5,6.248275463
5.980081018,5,6.271747685
5.984918981,5,6.276585648
5.987962963,4.5,6.27962963
5.990833333,4.5,6.2825
5.993761574,4.5,6.285428241
6.002268518,4.5,6.293935185
6.005104166,4.5,6.296770833
6.013055555,4.5,6.304722222
6.021226852,4.5,6.312893519
6.030011574,4.5,6.321678241
6.0309375,4.5,6.322604167
6.045300926,4.5,6.336967593
6.045648148,4.5,6.337314815
6.045717592,4.5,6.337384259
6.046122685,4,6.337789352
6.04630787,4,6.337974537
6.058414352,4,6.350081019
6.081261574,4,6.372928241
6.717025463,4,0.00869213
6.727025463,4,0.01869213
6.727627314,4,0.019293981
6.74880787,4,0.040474537
6.749259259,4,0.040925926
6.75292824,3.5,0.044594907
6.7540625,3.5,0.045729167
6.773449074,3.5,0.065115741
6.784293981,3.5,0.075960648
6.785219907,3.5,0.076886574
6.786226852,3.5,0.077893519
6.787407407,3.5,0.079074074
6.788067129,3.5,0.079733796
6.79880787,3,0.090474537
6.799131944,3,0.090798611
6.810243055,3,0.101909722
6.813425926,3,0.105092593
6.813611111,3,0.105277778
6.822418981,3,0.114085648
6.832650463,3,0.12431713
6.870949074,3,0.162615741
6.893587963,3,0.18525463
6.89417824,3,0.185844907
6.899942129,3,0.191608796
6.901122685,3,0.192789352
6.902349537,3,0.194016204
6.902731481,3,0.194398148
6.914050926,2.5,0.205717593
6.916956018,2.5,0.208622685
6.919537037,2,0.211203704
6.920243055,2,0.211909722
6.922789352,2,0.214456019
6.929016203,2,0.22068287
6.931689814,2,0.223356481
6.941817129,2,0.233483796
6.942384259,2,0.234050926
6.948738426,2,0.240405093
6.950636574,1.5,0.242303241
6.950752314,1.5,0.242418981
6.954050926,1.5,0.245717593
6.968831018,1.5,0.260497685
6.97074074,1,0.262407407
6.990243055,1,0.281909722
6.997731481,1,0.289398148
,1,6.374282407
,1,6.375925926
,1,6.394618056
,1,6.395335648
,1,6.422199074
,1,6.422210648
,1,6.445810185
,1,6.465081019
,1,6.474027778
,1,6.567974537
,1,6.856319444
,1,6.8775
,1,6.878009259
,1,6.881331019
,1,6.885092593
,1,6.897106481
,0.5,6.922094907
,0,6.940300926
,0,6.941655093
,0,6.941678241
,0,6.944965278
,0,6.950763889
,0,6.961076389
,0,6.969641204
,0,6.97431713
,0,6.976805556
,0,6.985451389
